###Movement values in mm###
X	Y	A		sX	sY	sA
1215	546.807	0		9.05848	55.6266	0.00111536
1215	547.895	0		9.08115	56.0974	0.0011185
1215	548.983	0		9.10382	56.5708	0.00112164
1215	550.072	0		9.12649	57.0469	0.00112477
1215	551.16	0		9.14916	57.5256	0.00112791
1215	552.248	0		9.17183	58.007	0.00113105
1215	553.336	0		9.1945	58.4911	0.00113419
1215	554.424	0		9.21717	58.9778	0.00113732
1215	555.512	0		9.23984	59.4673	0.00114046
1215	556.6	0		9.2625	59.9595	0.0011436
1215	557.688	0		9.28517	60.4543	0.00114674
1215	558.776	0		9.30784	60.9519	0.00114987
1215	559.865	0		9.33051	61.4522	0.00115301
1215	560.953	0		9.35318	61.9552	0.00115615
1215	562.041	0		9.37585	62.461	0.00115929
1215	563.129	0		9.39852	62.9695	0.00116242
1215	564.217	0		9.42119	63.4808	0.00116556
1215	565.305	0		9.44385	63.9948	0.0011687
1215	566.393	0		9.46652	64.5116	0.00117184
1215	567.481	0		9.48919	65.0312	0.00117497
1215	568.569	0		9.51186	65.5536	0.00117811
1215	569.657	0		9.53453	66.0787	0.00118125
1215	570.746	0		9.5572	66.6066	0.00118439
1215	571.834	0		9.57987	67.1374	0.00118752
1215	572.922	0		9.60254	67.6709	0.00119066
1215	574.01	0		9.62521	68.2073	0.0011938
1215	575.098	0		9.64787	68.7465	0.00119694
1215	576.186	0		9.67054	69.2886	0.00120008
1215	577.274	0		9.69321	69.8334	0.00120321
1215	578.362	0		9.71588	70.3812	0.00120635
1215	579.45	0		9.73855	70.9318	0.00120949
1215	580.538	0		9.76122	71.4852	0.00121263
1215	581.627	0		9.78389	72.0415	0.00121576
1215	582.715	0		9.80656	72.6007	0.0012189
1215	583.803	0		9.82922	73.1628	0.00122204
1215	584.891	0		9.85189	73.7278	0.00122518
1215	585.979	0		9.87456	74.2957	0.00122831
1215	587.067	0		9.89723	74.8665	0.00123145
1215	588.155	0		9.9199	75.4402	0.00123459
1215	589.243	0		9.94257	76.0168	0.00123773
1215	590.331	0		9.96524	76.5964	0.00124086
1215	591.42	0		9.98791	77.1789	0.001244
1215	592.508	0		10.0106	77.7643	0.00124714
1215	593.596	0		10.0332	78.3527	0.00125028
1215	594.684	0		10.0559	78.9441	0.00125341
1215	595.772	0		10.0786	79.5384	0.00125655
1215	596.86	0		10.1013	80.1357	0.00125969
1215	597.948	0		10.1239	80.736	0.00126283
1215	599.036	0		10.1466	81.3392	0.00126596
1215	600.124	0		10.1693	81.9455	0.0012691
1215	601.212	0		10.1919	82.5548	0.00127224
1215	602.301	0		10.2146	83.1671	0.00127538
1215	603.389	0		10.2373	83.7824	0.00127851
1215	604.477	0		10.2599	84.4007	0.00128165
1215	605.565	0		10.2826	85.0221	0.00128479
1215	606.653	0		10.3053	85.6465	0.00128793
1215	607.741	0		10.3279	86.274	0.00129106
1215	608.829	0		10.3506	86.9045	0.0012942
1215	609.917	0		10.3733	87.5381	0.00129734
1215	611.005	0		10.3959	88.1747	0.00130048
1215	612.093	0		10.4186	88.8145	0.00130361
1215	613.182	0		10.4413	89.4573	0.00130675
1215	614.27	0		10.464	90.1032	0.00130989
1215	615.358	0		10.4866	90.7523	0.00131303
1215	616.446	0		10.5093	91.4044	0.00131616
1215	617.534	0		10.532	92.0596	0.0013193
1215	618.609	0		10.5543	92.7097	0.0013224
1215	619.669	0		10.5764	93.3546	0.00132546
1215	620.717	0		10.5983	93.9942	0.00132848
1215	621.75	0		10.6198	94.6283	0.00133146
1215	622.771	0		10.6411	95.2568	0.0013344
1215	623.777	0		10.662	95.8797	0.0013373
1215	624.77	0		10.6827	96.4968	0.00134017
1215	625.749	0		10.7031	97.1081	0.00134299
1215	626.715	0		10.7232	97.7134	0.00134578
1215	627.667	0		10.7431	98.3126	0.00134852
1215	628.605	0		10.7626	98.9057	0.00135123
1215	629.53	0		10.7819	99.4924	0.00135389
1215	630.442	0		10.8009	100.073	0.00135652
1215	631.339	0		10.8196	100.647	0.00135911
1215	632.223	0		10.838	101.214	0.00136166
1215	633.094	0		10.8561	101.775	0.00136417
1215	633.951	0		10.874	102.329	0.00136664
1215	634.794	0		10.8915	102.876	0.00136907
1215	635.624	0		10.9088	103.416	0.00137146
1215	636.44	0		10.9258	103.95	0.00137382
1215	637.242	0		10.9425	104.476	0.00137613
1215	638.031	0		10.959	104.995	0.00137841
1215	638.806	0		10.9751	105.506	0.00138064
1215	639.568	0		10.991	106.011	0.00138284
1215	640.316	0		11.0066	106.508	0.00138499
1215	641.051	0		11.0219	106.997	0.00138711
1215	641.772	0		11.0369	107.479	0.00138919
1215	642.479	0		11.0516	107.953	0.00139123
1215	643.172	0		11.0661	108.419	0.00139323
1215	643.853	0		11.0803	108.878	0.00139519
1215	644.519	0		11.0941	109.328	0.00139711
1215	645.172	0		11.1077	109.771	0.001399
1215	645.811	0		11.1211	110.205	0.00140084
1215	646.437	0		11.1341	110.631	0.00140264
1215	647.049	0		11.1469	111.05	0.00140441
1215	647.647	0		11.1593	111.459	0.00140613
1215	648.232	0		11.1715	111.861	0.00140782
1215	648.803	0		11.1834	112.254	0.00140947
1215	649.361	0		11.195	112.639	0.00141108
1215	649.905	0		11.2064	113.015	0.00141264
1215	650.436	0		11.2174	113.382	0.00141417
1215	650.952	0		11.2282	113.741	0.00141566
1215	651.456	0		11.2387	114.091	0.00141712
1215	651.945	0		11.2489	114.433	0.00141853
1215	652.421	0		11.2588	114.765	0.0014199
1215	652.884	0		11.2684	115.089	0.00142123
1215	653.333	0		11.2778	115.403	0.00142253
1215	653.768	0		11.2868	115.709	0.00142378
1215	654.19	0		11.2956	116.006	0.001425
1215	654.598	0		11.3041	116.293	0.00142618
1215	654.992	0		11.3123	116.572	0.00142731
1215	655.373	0		11.3203	116.841	0.00142841
1215	655.74	0		11.3279	117.101	0.00142947
1215	656.094	0		11.3353	117.352	0.00143049
1215	656.434	0		11.3424	117.593	0.00143147
1215	656.76	0		11.3492	117.826	0.00143241
1215	657.073	0		11.3557	118.048	0.00143331
1215	657.372	0		11.3619	118.262	0.00143418
1215	657.658	0		11.3679	118.465	0.001435
1215	657.93	0		11.3735	118.66	0.00143578
1215	658.188	0		11.3789	118.845	0.00143653
1215	658.433	0		11.384	119.02	0.00143724
1215	658.664	0		11.3888	119.186	0.0014379
1215	658.882	0		11.3934	119.342	0.00143853
1215	659.086	0		11.3976	119.488	0.00143912
1215	659.276	0		11.4016	119.625	0.00143967
1215	659.453	0		11.4053	119.752	0.00144018
1215	659.616	0		11.4087	119.87	0.00144065
1215	659.766	0		11.4118	119.977	0.00144108
1215	659.902	0		11.4146	120.075	0.00144147
1215	660.024	0		11.4172	120.164	0.00144182
---END---
###Movement values in mm###
X	Y	A		sX	sY	sA
1215	660.024	0		11.4172	0	0
---END---
###Movement values in mm###
X	Y	A		sX	sY	sA
1215	660.024	0		11.4172	0	0
1215	660.024	-0.000320031		11.4177	1.45108e-11	7.84849e-08
1215	660.024	-0.000800076		11.4186	2.81147e-10	1.96247e-07
